strategy,arm,slice,metric,n_seeds,n_bootstraps_total,mean_of_points,std_across_seeds,pooled_mean,pooled_ci_lo,pooled_ci_hi,pooled_ci_half
margin,adversarial_b2p,pp_test,auc,3,6000,0.8796886243977059,0.016131898139173657,0.8796075488002288,0.8416452096005044,0.9089275626962335,0.03364117654786458
margin,adversarial_b2p,kp_test,f1_weighted,3,6000,0.978962468406367,0.003080512124905804,0.978923989357345,0.9701194411668905,0.9867094205816432,0.008294989707376355
margin,adversarial_b2p,kp_test,recall_phish,3,6000,0.9781353135313532,0.0025763193062699687,0.9780414603960396,0.9665841584158416,0.9876237623762376,0.01051980198019803
margin,adversarial_b2p,kp_test,recall_benign,3,6000,0.979625918503674,0.0037935259490983636,0.9796327655310622,0.968937875751503,0.9899799599198397,0.01052104208416832
margin,adversarial_b2p,kp_test,precision_phish,3,6000,0.9749258999591497,0.004611810046775915,0.9749604517796315,0.9621951219512195,0.9874686716791979,0.01263677486398923
margin,adversarial_b2p,kp_test,precision_benign,3,6000,0.9822491981623586,0.002106331744914172,0.9821913101286276,0.9729452133956982,0.9899598393574297,0.008507312980865767
margin,adversarial_b2p,kp_test,accuracy,3,6000,0.9789590254706534,0.0030829260037818773,0.9789208194905868,0.9700996677740864,0.9867109634551495,0.00830564784053156
margin,adversarial_b2p,kp_test,auc,3,6000,0.997577250209991,0.0005415469339791297,0.9975721490423091,0.9958071774737594,0.9988604064564773,0.0015266144913589907
margin,adversarial_b2p,dp_probe,f1_weighted,3,6000,0.15810156039472667,0.01912432471662097,0.1581858366059243,0.13523686521793596,0.1879853171279596,0.02637422595501182
margin,adversarial_b2p,dp_probe,recall_phish,3,6000,0.989648033126294,0.0017930132583528465,0.9896858178053829,0.9824016563146998,0.9958592132505176,0.006728778467908925
margin,adversarial_b2p,dp_probe,recall_benign,3,6000,0.07411477411477412,0.01283140998594854,0.07418250915750915,0.05897435897435897,0.09432234432234432,0.017673992673992674
margin,adversarial_b2p,dp_probe,precision_phish,3,6000,0.159046295275909,0.0017025921256283842,0.15906288853470604,0.15686266475119798,0.16211211878475226,0.0026247270167771425
margin,adversarial_b2p,dp_probe,precision_benign,3,6000,0.9757807005613398,0.0032054801184289265,0.9758889784422633,0.9582307978522078,0.9900793650793651,0.01592428361357867
margin,adversarial_b2p,dp_probe,accuracy,3,6000,0.21174395684199607,0.010715428018404697,0.21180718954248368,0.19919078742608154,0.22875816993464052,0.014783691254279488
margin,adversarial_b2p,dp_probe,auc,3,6000,0.8312431587276308,0.008816852185286078,0.8312558712336662,0.8128764959160921,0.8495794323861094,0.01835146823500866
margin,adversarial_p2b,pp_test,f1_weighted,3,6000,0.832606129741813,0.0037023489528801505,0.8325457050400169,0.8080421133993373,0.8566910256488881,0.024324456124775407
margin,adversarial_p2b,pp_test,recall_phish,3,6000,0.7102069950035689,0.004457528906779699,0.7104282655246252,0.6680942184154176,0.7537473233404711,0.04282655246252676
margin,adversarial_p2b,pp_test,recall_benign,3,6000,0.9550102249488752,0.005410534378455192,0.9547505112474438,0.9325153374233128,0.9734151329243353,0.02044989775051126
margin,adversarial_p2b,pp_test,precision_phish,3,6000,0.9378258313928515,0.007044191317146256,0.9376156936393184,0.9096041328070582,0.9624277456647399,0.026411806428840834
margin,adversarial_p2b,pp_test,precision_benign,3,6000,0.7753209630447238,0.002943231525017554,0.7756000458456194,0.7508038585209004,0.8020482221425929,0.025622181810846245
margin,adversarial_p2b,pp_test,accuracy,3,6000,0.8354253835425384,0.0036735194396278863,0.8354006276150627,0.8117154811715481,0.858786610878661,0.023535564853556457
margin,adversarial_p2b,pp_test,auc,3,6000,0.9305447905308654,0.006415623912130693,0.9304318081300386,0.9113252803650329,0.9492348804315934,0.01895480003328026
margin,adversarial_p2b,kp_test,f1_weighted,3,6000,0.9793161085249528,0.0006435136642979452,0.979295432461628,0.9722973199723579,0.9856018294391828,0.006652254733412466
margin,adversarial_p2b,kp_test,recall_phish,3,6000,0.9711221122112211,0.0025763193062699682,0.9710156765676567,0.9579207920792079,0.9826732673267327,0.012376237623762387
margin,adversarial_p2b,kp_test,recall_benign,3,6000,0.9859719438877755,0.001002004008016033,0.9860220440881764,0.9779559118236473,0.9929859719438878,0.007515030060120276
margin,adversarial_p2b,kp_test,precision_phish,3,6000,0.9824737467213859,0.0011858898286394382,0.9825538728226071,0.9728059332509271,0.9911616161616161,0.009177841455344504
margin,adversarial_p2b,kp_test,precision_benign,3,6000,0.9768405554271989,0.0019989862204950627,0.9767792923761035,0.9666993143976493,0.9859578736208626,0.009629279611606645
margin,adversarial_p2b,kp_test,accuracy,3,6000,0.9793281653746769,0.0006393690688700003,0.9793082318198597,0.9723145071982281,0.9856035437430787,0.006644518272425293
