run_id,strategy,oracle,cumulative_llm_calls,cumulative_labels,pp_f1w
drift_anchored_B_seed2025,drift_anchored,llm,250,250,0.637910519252179
drift_anchored_B_seed2025,drift_anchored,llm,300,300,0.6353308383203501
drift_anchored_B_seed2025,drift_anchored,llm,350,350,0.648915606623264
drift_anchored_B_seed2025,drift_anchored,llm,400,400,0.6442042936228833
drift_anchored_B_seed2025,drift_anchored,llm,450,450,0.6394370897161092
drift_anchored_B_seed2025,drift_anchored,llm,500,500,0.6600043483099175
drift_anchored_B_seed2025,drift_anchored,llm,550,550,0.6758980331758987
drift_anchored_B_seed2025,drift_anchored,llm,600,600,0.6988115933575437
drift_anchored_B_seed2025,drift_anchored,llm,650,650,0.7023600470314624
drift_anchored_B_seed2025,drift_anchored,llm,700,700,0.6967755543471146
drift_anchored_B_seed2025,drift_anchored,llm,750,750,0.7012844680371203
drift_anchored_B_seed2025,drift_anchored,llm,800,800,0.7181146987917623
drift_anchored_B_seed2025,drift_anchored,llm,850,849,0.7257587112998984
drift_anchored_B_seed2025,drift_anchored,llm,900,899,0.7395815927873401
drift_anchored_B_seed2025,drift_anchored,llm,950,949,0.7626009164003584
drift_anchored_B_seed2025,drift_anchored,llm,1000,999,0.768804162305031
drift_anchored_B_seed2025,drift_anchored,llm,1050,1049,0.7759343844551971
drift_anchored_B_seed2025,drift_anchored,llm,1100,1099,0.7853559573970232
drift_anchored_B_seed2025,drift_anchored,llm,1150,1149,0.7911969535221411
drift_anchored_B_seed2025,drift_anchored,llm,1200,1199,0.7958444536007871
drift_anchored_B_seed2025,drift_anchored,llm,1250,1249,0.7946846478687591
drift_anchored_B_seed2026,drift_anchored,llm,50,50,0.6427024143981669
drift_anchored_B_seed2026,drift_anchored,llm,100,100,0.6251515307552655
drift_anchored_B_seed2026,drift_anchored,llm,150,150,0.6375983682303124
drift_anchored_B_seed2026,drift_anchored,llm,200,200,0.6439776172538193
drift_anchored_B_seed2026,drift_anchored,llm,250,250,0.6485566832698473
drift_anchored_B_seed2026,drift_anchored,llm,300,299,0.6526633450117597
drift_anchored_B_seed2026,drift_anchored,llm,350,349,0.6549780740957242
drift_anchored_B_seed2026,drift_anchored,llm,400,399,0.6618111332576274
drift_anchored_B_seed2026,drift_anchored,llm,450,449,0.658633370673232
drift_anchored_B_seed2026,drift_anchored,llm,500,499,0.6695021093401906
drift_anchored_B_seed2026,drift_anchored,llm,550,549,0.6802085695615562
drift_anchored_B_seed2026,drift_anchored,llm,600,599,0.6871990633451314
drift_anchored_B_seed2026,drift_anchored,llm,650,649,0.6920685693282351
drift_anchored_B_seed2026,drift_anchored,llm,700,699,0.6879245460768708
drift_anchored_B_seed2026,drift_anchored,llm,750,749,0.6980864332982897
drift_anchored_B_seed2026,drift_anchored,llm,800,799,0.7139672375616847
drift_anchored_B_seed2026,drift_anchored,llm,850,849,0.7206490569904425
drift_anchored_B_seed2026,drift_anchored,llm,900,899,0.7332132881721343
drift_anchored_B_seed2026,drift_anchored,llm,950,949,0.7531555024890307
drift_anchored_B_seed2026,drift_anchored,llm,1000,999,0.7652176804844606
drift_anchored_B_seed2026,drift_anchored,llm,1050,1049,0.768804162305031
drift_anchored_B_seed2026,drift_anchored,llm,1100,1099,0.7654282125614631
drift_anchored_B_seed2026,drift_anchored,llm,1150,1149,0.7699964555384669
drift_anchored_B_seed2026,drift_anchored,llm,1200,1199,0.7831878357545687
drift_anchored_B_seed2026,drift_anchored,llm,1250,1249,0.784359781038359
drift_anchored_B_seed2027,drift_anchored,llm,50,50,0.6143636616505128
drift_anchored_B_seed2027,drift_anchored,llm,100,100,0.6162638111374426
drift_anchored_B_seed2027,drift_anchored,llm,150,149,0.615758937477437
drift_anchored_B_seed2027,drift_anchored,llm,200,199,0.6215932488461622
drift_anchored_B_seed2027,drift_anchored,llm,250,249,0.6253665918840693
drift_anchored_B_seed2027,drift_anchored,llm,300,298,0.6251829287886818
drift_anchored_B_seed2027,drift_anchored,llm,350,348,0.6558920657951398
drift_anchored_B_seed2027,drift_anchored,llm,400,398,0.6658796189576981
drift_anchored_B_seed2027,drift_anchored,llm,450,448,0.6663658654696458
drift_anchored_B_seed2027,drift_anchored,llm,500,498,0.6956210292284011
drift_anchored_B_seed2027,drift_anchored,llm,550,548,0.7247362099841309
drift_anchored_B_seed2027,drift_anchored,llm,600,598,0.7424078748048331
drift_anchored_B_seed2027,drift_anchored,llm,650,648,0.7414346016675951
drift_anchored_B_seed2027,drift_anchored,llm,700,697,0.7313958178070955
drift_anchored_B_seed2027,drift_anchored,llm,750,746,0.7348675034867503
drift_anchored_B_seed2027,drift_anchored,llm,800,796,0.7408263949341496
drift_anchored_B_seed2027,drift_anchored,llm,850,846,0.7509670040578296
drift_anchored_B_seed2027,drift_anchored,llm,900,895,0.7573114518534928
drift_anchored_B_seed2027,drift_anchored,llm,950,945,0.765774637134523
drift_anchored_B_seed2027,drift_anchored,llm,1000,995,0.7731663479219172
drift_anchored_B_seed2027,drift_anchored,llm,1050,1045,0.7779184198086487
drift_anchored_B_seed2027,drift_anchored,llm,1100,1095,0.7800956902026815
drift_anchored_B_seed2027,drift_anchored,llm,1150,1144,0.7789109551094668
drift_anchored_B_seed2027,drift_anchored,llm,1200,1194,0.7812788909050855
drift_anchored_B_seed2027,drift_anchored,llm,1250,1244,0.7836407299601842
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,50,50,0.6946277179145514
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,100,100,0.7248921269696215
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,150,150,0.7456956411032813
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,200,200,0.7504608906790131
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,250,250,0.7610926002958948
drift_anchored_llm_periodic_shuffle_B,drift_anchored,llm,300,300,0.7690003700078887
